symbol,direction,entry_time,exit_time,entry_price,exit_price,size,original_size,contract_multiplier,score,pnl,pnl_pct,bars_held,reason_exit,reason_entry,partial_exit
M0,long,2006-10-30,2006-11-24,2420.5,2418.5,3,3,10,95,-78.0,-0.000826,20,stop_loss,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 34.14, 'bb_width': 0.1397, 'vol_ratio': 3.14, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 2408.0, 'latest_swing_low': 2349.0, 'trigger_level': 2408.0, 'structure_stop_loss': 2337.8143}",False
TA0,short,2007-10-19,2007-10-29,7603.5,7605.5,1,1,5,95,-16.0,-0.000263,7,stop_loss,"{'signal_type': 'short_123', 'dow_state': 'BEAR_CONFIRMED', 'pure_state': 'BEAR_TREND', 'adx': 23.36, 'bb_width': 0.108, 'vol_ratio': 3.37, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': False, 'higher_low': False, 'lower_high': True, 'lower_low': True, 'latest_swing_high': 7896.0, 'latest_swing_low': 7622.0, 'trigger_level': 7622.0, 'structure_stop_loss': 7935.3857}",False
TA0,long,2008-03-18,2008-03-24,8150.5,8291.5,2,2,5,95,1398.0,0.0173,4,dow_trend_reversal,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 33.69, 'bb_width': 0.0696, 'vol_ratio': 1.56, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 8240.0, 'latest_swing_low': 8042.0, 'trigger_level': 8240.0, 'structure_stop_loss': 8005.9571}",False
C0,long,2009-08-14,2009-09-14,1722.5,1720.0,6,6,10,95,-186.0,-0.001451,22,stop_loss,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 22.91, 'bb_width': 0.0736, 'vol_ratio': 9.17, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 1682.0, 'latest_swing_low': 1650.0, 'trigger_level': 1682.0, 'structure_stop_loss': 1643.7643}",False
C0,long,2010-01-05,2010-01-07,1893.5,1891.5,10,10,10,95,-260.0,-0.001056,3,stop_loss,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 39.77, 'bb_width': 0.0557, 'vol_ratio': 2.22, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 1881.0, 'latest_swing_low': 1843.0, 'trigger_level': 1881.0, 'structure_stop_loss': 1839.3571}",False
RB0,long,2010-03-17,2010-04-28,4799.5,4587.5,1,1,10,95,-2126.0,-0.044171,30,time_stop,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 31.91, 'bb_width': 0.1835, 'vol_ratio': 2.6, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 4679.0, 'latest_swing_low': 4513.0, 'trigger_level': 4679.0, 'structure_stop_loss': 4485.1857}",False
V0,long,2010-04-16,2010-04-28,8080.5,7698.0,2,2,5,95,-3837.0,-0.047336,9,stop_loss,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 32.45, 'bb_width': 0.0933, 'vol_ratio': 3.88, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 7975.0, 'latest_swing_low': 7760.0, 'trigger_level': 7975.0, 'structure_stop_loss': 7727.8571}",False
TA0,short,2010-05-17,2010-06-07,7709.5,7100.5,1,2,5,95,3039.0,0.078993,16,partial_exit_1R5,"{'signal_type': 'short_123', 'dow_state': 'BEAR_CONFIRMED', 'pure_state': 'BEAR_TREND', 'adx': 32.19, 'bb_width': 0.1103, 'vol_ratio': 2.49, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': False, 'higher_low': False, 'lower_high': True, 'lower_low': True, 'latest_swing_high': 8606.0, 'latest_swing_low': 7990.0, 'trigger_level': 7990.0, 'structure_stop_loss': 8641.0143}",True
TA0,short,2010-05-17,2010-06-17,7709.5,7383.7857,1,2,5,95,1622.57,0.042248,22,stop_loss,"{'signal_type': 'short_123', 'dow_state': 'BEAR_CONFIRMED', 'pure_state': 'BEAR_TREND', 'adx': 32.19, 'bb_width': 0.1103, 'vol_ratio': 2.49, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': False, 'higher_low': False, 'lower_high': True, 'lower_low': True, 'latest_swing_high': 8606.0, 'latest_swing_low': 7990.0, 'trigger_level': 7990.0, 'structure_stop_loss': 8641.0143}",False
V0,short,2010-06-08,2010-07-22,6969.5,6990.5,1,1,5,95,-111.0,-0.003013,30,time_stop,"{'signal_type': 'short_123', 'dow_state': 'BEAR_CONFIRMED', 'pure_state': 'BEAR_TREND', 'adx': 40.55, 'bb_width': 0.0879, 'vol_ratio': 2.01, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': False, 'higher_low': False, 'lower_high': True, 'lower_low': True, 'latest_swing_high': 7590.0, 'latest_swing_low': 7100.0, 'trigger_level': 7100.0, 'structure_stop_loss': 7631.6786}",False
C0,long,2010-10-21,2010-10-27,2181.5,2179.5,3,3,10,95,-78.0,-0.000917,5,stop_loss,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 39.57, 'bb_width': 0.0808, 'vol_ratio': 2.16, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 2153.0, 'latest_swing_low': 2051.0, 'trigger_level': 2153.0, 'structure_stop_loss': 2041.6571}",False
V0,long,2010-10-12,2010-11-05,8080.5,8304.5,1,2,5,95,1114.0,0.027721,19,partial_exit_1R5,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 23.87, 'bb_width': 0.09, 'vol_ratio': 1.68, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 8040.0, 'latest_swing_low': 7450.0, 'trigger_level': 8040.0, 'structure_stop_loss': 7414.75}",True
V0,long,2010-10-12,2010-11-11,8080.5,9224.25,1,2,5,95,5712.75,0.141544,23,stop_loss,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 23.87, 'bb_width': 0.09, 'vol_ratio': 1.68, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 8040.0, 'latest_swing_low': 7450.0, 'trigger_level': 8040.0, 'structure_stop_loss': 7414.75}",False
V0,long,2011-08-01,2011-08-05,8550.5,8248.0,2,2,5,95,-3037.0,-0.035378,5,stop_loss,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 32.6, 'bb_width': 0.0827, 'vol_ratio': 4.05, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 8500.0, 'latest_swing_low': 8305.0, 'trigger_level': 8500.0, 'structure_stop_loss': 8269.4286}",False
RB0,short,2011-10-18,2011-10-31,4152.5,4154.5,1,1,10,95,-26.0,-0.000482,10,stop_loss,"{'signal_type': 'short_123', 'dow_state': 'BEAR_CONFIRMED', 'pure_state': 'BEAR_TREND', 'adx': 55.21, 'bb_width': 0.1651, 'vol_ratio': 2.56, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': False, 'higher_low': False, 'lower_high': True, 'lower_low': True, 'latest_swing_high': 4390.0, 'latest_swing_low': 4282.0, 'trigger_level': 4282.0, 'structure_stop_loss': 4416.7}",False
M0,long,2012-02-20,2012-03-14,3088.5,3197.5,1,3,10,95,1084.0,0.035292,18,partial_exit_1R5,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 27.34, 'bb_width': 0.0728, 'vol_ratio': 1.97, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 3043.0, 'latest_swing_low': 2976.0, 'trigger_level': 3043.0, 'structure_stop_loss': 2966.1214}",True
